rank	pair_id	chrom	lcr_up_start	lcr_up_end	lcr_down_start	lcr_down_end	interior_start	interior_end	interior_len_bp	avg_lcr_len_bp	identity	propensity_X	n_interior_genes	n_disease_genes	n_HI3_genes	hi_disease_genes	omim_examples
72	NAHR_02440_chr7_73M	chr7	73065172	73112058	77011520	77058788	73112058	77011520	3899462	47077	0.9833	4.595	86	26	1	ELN	
73	NAHR_01570_chr17_60M	chr17	60200517	60221224	62277796	62298462	60221224	62277796	2056572	20686	0.9876	4.262	27	10	2	TBX4,BRIP1	
74	NAHR_01572_chr17_60M	chr17	60200517	60221224	62277796	62298462	60221224	62277796	2056572	20686	0.9876	4.262	27	10	2	TBX4,BRIP1	
75	NAHR_00623_chr11_67M	chr11	67990102	67996172	71602974	71609024	67996172	71602974	3606802	6060	0.9637	3.645	87	20	2	KMT5B,SHANK2	UNC93B1=HP:0002384:Focal impaired awareness seizure;NDUFS8=HP:0001251:Ataxia
76	NAHR_00625_chr11_67M	chr11	67990102	67996172	71602974	71609024	67996172	71602974	3606802	6060	0.9637	3.645	87	20	2	KMT5B,SHANK2	UNC93B1=HP:0002384:Focal impaired awareness seizure;NDUFS8=HP:0001251:Ataxia
77	NAHR_02275_chr5_175M	chr5	175902456	175919195	177920038	177936753	175919195	177920038	2000843	16727	0.9901	4.181	68	11	2	NSD1,DDX41	
78	NAHR_02287_chr5_175M	chr5	175902456	175919195	177920038	177936753	175919195	177920038	2000843	16727	0.9901	4.181	68	11	2	NSD1,DDX41	
79	NAHR_02279_chr5_176M	chr5	176108275	176121985	178041363	178054978	176121985	178041363	1919378	13662	0.9857	4.077	67	12	2	NSD1,DDX41	
80	NAHR_02295_chr5_176M	chr5	176108275	176121985	178041363	178054978	176121985	178041363	1919378	13662	0.9857	4.077	67	12	2	NSD1,DDX41	
81	NAHR_01567_chr17_60M	chr17	60005984	60021089	62262567	62277656	60021089	62262567	2241478	15097	0.9870	4.125	35	11	2	TBX4,BRIP1	
82	NAHR_01571_chr17_60M	chr17	60005984	60021089	62262567	62277656	60021089	62262567	2241478	15097	0.9870	4.125	35	11	2	TBX4,BRIP1	
83	NAHR_02387_chr7_73M	chr7	73192675	73280573	75111961	75200000	73280573	75111961	1831388	87968	0.9956	4.922	42	21	1	ELN	FKBP6=HP:0000960:Sacral dimple;BAZ1B=HP:0000960:Sacral dimple
84	NAHR_02410_chr7_73M	chr7	73192675	73280573	75111961	75200000	73280573	75111961	1831388	87968	0.9956	4.922	42	21	1	ELN	FKBP6=HP:0000960:Sacral dimple;BAZ1B=HP:0000960:Sacral dimple
85	NAHR_02386_chr7_73M	chr7	73174794	73280573	74728173	74833380	73280573	74728173	1447600	105493	0.9954	5.000	34	19	1	ELN	FKBP6=HP:0000960:Sacral dimple;BAZ1B=HP:0000960:Sacral dimple
86	NAHR_02396_chr7_73M	chr7	73174794	73280573	74728173	74833380	73280573	74728173	1447600	105493	0.9954	5.000	34	19	1	ELN	FKBP6=HP:0000960:Sacral dimple;BAZ1B=HP:0000960:Sacral dimple
87	NAHR_02385_chr7_73M	chr7	73117070	73174784	74925883	74984489	73174784	74925883	1751099	58160	0.9953	4.742	42	21	1	ELN	
88	NAHR_02408_chr7_73M	chr7	73117070	73174784	74925883	74984489	73174784	74925883	1751099	58160	0.9953	4.742	42	21	1	ELN	
89	NAHR_02374_chr7_72M	chr7	72858572	72882814	76528357	76552786	72882814	76528357	3645543	24335	0.9787	4.293	90	26	1	ELN	
90	NAHR_02431_chr7_72M	chr7	72858572	72882814	76528357	76552786	72882814	76528357	3645543	24335	0.9787	4.293	90	26	1	ELN	
91	NAHR_02280_chr5_176M	chr5	176192787	176201675	177936752	177946128	176201675	177936752	1735077	9132	0.9861	3.905	57	11	2	NSD1,DDX41	
92	NAHR_02288_chr5_176M	chr5	176192787	176201675	177936752	177946128	176201675	177936752	1735077	9132	0.9861	3.905	57	11	2	NSD1,DDX41	
93	NAHR_02380_chr7_73M	chr7	72985212	73035169	74869959	74920464	73035169	74869959	1834790	50231	0.9934	4.670	45	21	1	ELN	
94	NAHR_02398_chr7_73M	chr7	72985212	73035169	74869959	74920464	73035169	74869959	1834790	50231	0.9934	4.670	45	21	1	ELN	
95	NAHR_01393_chr17_17M	chr17	17011962	17017820	20568872	20574738	17017820	20568872	3551052	5862	0.9537	3.594	126	16	2	FLCN,RAI1	
96	NAHR_01420_chr17_17M	chr17	17011962	17017820	20568872	20574738	17017820	20568872	3551052	5862	0.9537	3.594	126	16	2	FLCN,RAI1	
97	NAHR_01124_chr16_28M	chr16	28342981	28363510	30225596	30246262	28363510	30225596	1862086	20597	0.9808	4.231	117	26	1	PRRT2	
98	NAHR_01182_chr16_28M	chr16	28342981	28363510	30225596	30246262	28363510	30225596	1862086	20597	0.9808	4.231	117	26	1	PRRT2	
99	NAHR_02015_chr22_20M	chr22	20687026	20699044	24649749	24661630	20699044	24649749	3950705	11949	0.9629	3.926	138	29	1	SMARCB1	PI4KA=HP:0007359:Focal-onset seizure;SERPIND1=HP:0005521:Disseminated intravascular coagulation;SNAP29=HP:0000504:Abnormality of vision
100	NAHR_02105_chr22_20M	chr22	20687026	20699044	24649749	24661630	20699044	24649749	3950705	11949	0.9629	3.926	138	29	1	SMARCB1	PI4KA=HP:0007359:Focal-onset seizure;SERPIND1=HP:0005521:Disseminated intravascular coagulation;SNAP29=HP:0000504:Abnormality of vision
101	NAHR_02847_chrX_154M	chrX	154880814	154890327	155376505	155386059	154890327	155376505	486178	9533	0.9983	3.973	11	8	2	F8,RAB39B	F8=HP:0100309:Subdural hemorrhage
102	NAHR_02849_chrX_154M	chrX	154880814	154890327	155376505	155386059	154890327	155376505	486178	9533	0.9983	3.973	11	8	2	F8,RAB39B	F8=HP:0100309:Subdural hemorrhage
103	NAHR_02848_chrX_154M	chrX	154880814	154890327	155454650	155464208	154890327	155454650	564323	9535	0.9982	3.972	14	8	2	F8,RAB39B	F8=HP:0100309:Subdural hemorrhage
104	NAHR_02850_chrX_154M	chrX	154880814	154890327	155454650	155464208	154890327	155454650	564323	9535	0.9982	3.972	14	8	2	F8,RAB39B	F8=HP:0100309:Subdural hemorrhage
105	NAHR_01132_chr16_28M	chr16	28456819	28471892	30225596	30240768	28471892	30225596	1753704	15122	0.9812	4.101	114	26	1	PRRT2	CLN3=HP:0000709:Psychosis
106	NAHR_01181_chr16_28M	chr16	28456819	28471892	30225596	30240768	28471892	30225596	1753704	15122	0.9812	4.101	114	26	1	PRRT2	CLN3=HP:0000709:Psychosis
107	NAHR_02115_chr22_29M	chr22	29402482	29409561	32151565	32158285	29409561	32151565	2742004	6899	0.9760	3.747	88	11	2	NF2,DEPDC5	NEFH=HP:0012473:Tongue atrophy
108	NAHR_02118_chr22_29M	chr22	29402482	29409561	32151565	32158285	29409561	32151565	2742004	6899	0.9760	3.747	88	11	2	NF2,DEPDC5	NEFH=HP:0012473:Tongue atrophy
109	NAHR_02116_chr22_29M	chr22	29411971	29419708	32133574	32141884	29419708	32133574	2713866	8023	0.9589	3.744	85	11	2	NF2,DEPDC5	NEFH=HP:0012473:Tongue atrophy
110	NAHR_02117_chr22_29M	chr22	29411971	29419708	32133574	32141884	29419708	32133574	2713866	8023	0.9589	3.744	85	11	2	NF2,DEPDC5	NEFH=HP:0012473:Tongue atrophy
111	NAHR_02373_chr7_72M	chr7	72858572	72873504	77047422	77062472	72873504	77047422	4173918	14991	0.9746	4.070	99	26	1	ELN	
112	NAHR_02444_chr7_72M	chr7	72858572	72873504	77047422	77062472	72873504	77047422	4173918	14991	0.9746	4.070	99	26	1	ELN	
113	NAHR_02388_chr7_73M	chr7	73286435	73330451	75393265	75435757	73330451	75393265	2062814	43254	0.9583	4.443	48	21	1	ELN	FKBP6=HP:0000960:Sacral dimple;BAZ1B=HP:0000960:Sacral dimple;TBL2=HP:0000960:Sacral dimple
114	NAHR_02419_chr7_73M	chr7	73286435	73330451	75393265	75435757	73330451	75393265	2062814	43254	0.9583	4.443	48	21	1	ELN	FKBP6=HP:0000960:Sacral dimple;BAZ1B=HP:0000960:Sacral dimple;TBL2=HP:0000960:Sacral dimple
115	NAHR_00740_chr15_23M	chr15	23311344	23374764	28334675	28399205	23374764	28334675	4959911	63975	0.9818	4.718	52	18	1	UBE3A	MKRN3=HP:0001623:Breech presentation
116	NAHR_00789_chr15_23M	chr15	23311344	23374764	28334675	28399205	23374764	28334675	4959911	63975	0.9818	4.718	52	18	1	UBE3A	MKRN3=HP:0001623:Breech presentation
117	NAHR_02382_chr7_73M	chr7	73062812	73091445	74891742	74920464	73091445	74891742	1800297	28677	0.9942	4.432	42	21	1	ELN	
118	NAHR_02404_chr7_73M	chr7	73062812	73091445	74891742	74920464	73091445	74891742	1800297	28677	0.9942	4.432	42	21	1	ELN	
119	NAHR_02381_chr7_73M	chr7	73034667	73063314	74891742	74920464	73063314	74891742	1828428	28684	0.9941	4.431	44	21	1	ELN	
120	NAHR_02405_chr7_73M	chr7	73034667	73063314	74891742	74920464	73063314	74891742	1828428	28684	0.9941	4.431	44	21	1	ELN	
121	NAHR_01134_chr16_28M	chr16	28625836	28658234	30225596	30259420	28658234	30225596	1567362	33111	0.9735	4.400	100	21	1	PRRT2	
122	NAHR_01180_chr16_28M	chr16	28625836	28658234	30225596	30259420	28658234	30225596	1567362	33111	0.9735	4.400	100	21	1	PRRT2	
123	NAHR_02278_chr5_176M	chr5	176101971	176107767	178037586	178043407	176107767	178037586	1929819	5808	0.9597	3.612	67	12	2	NSD1,DDX41	
124	NAHR_02293_chr5_176M	chr5	176101971	176107767	178037586	178043407	176107767	178037586	1929819	5808	0.9597	3.612	67	12	2	NSD1,DDX41	
125	NAHR_02384_chr7_73M	chr7	73090943	73113977	74891742	74914874	73113977	74891742	1777765	23083	0.9931	4.333	42	21	1	ELN	
126	NAHR_02403_chr7_73M	chr7	73090943	73113977	74891742	74914874	73113977	74891742	1777765	23083	0.9931	4.333	42	21	1	ELN	
127	NAHR_02017_chr22_20M	chr22	20688616	20699044	24250599	24261011	20699044	24250599	3551555	10420	0.9712	3.902	122	25	1	SMARCB1	PI4KA=HP:0007359:Focal-onset seizure;SERPIND1=HP:0005521:Disseminated intravascular coagulation;SNAP29=HP:0000504:Abnormality of vision
128	NAHR_02090_chr22_20M	chr22	20688616	20699044	24250599	24261011	20699044	24250599	3551555	10420	0.9712	3.902	122	25	1	SMARCB1	PI4KA=HP:0007359:Focal-onset seizure;SERPIND1=HP:0005521:Disseminated intravascular coagulation;SNAP29=HP:0000504:Abnormality of vision
129	NAHR_01129_chr16_28M	chr16	28449046	28456660	30215831	30223433	28456660	30215831	1759171	7608	0.9825	3.814	113	26	1	PRRT2	CLN3=HP:0000709:Psychosis
130	NAHR_01176_chr16_28M	chr16	28449046	28456660	30215831	30223433	28456660	30215831	1759171	7608	0.9825	3.814	113	26	1	PRRT2	CLN3=HP:0000709:Psychosis
131	NAHR_02043_chr22_21M	chr22	21200000	21227950	24608676	24636921	21227950	24608676	3380726	28097	0.9758	4.341	109	19	1	SMARCB1	
132	NAHR_02098_chr22_21M	chr22	21200000	21227950	24608676	24636921	21227950	24608676	3380726	28097	0.9758	4.341	109	19	1	SMARCB1	
133	NAHR_01142_chr16_28M	chr16	28751784	28772359	30225596	30246262	28772359	30225596	1453237	20620	0.9808	4.231	97	20	1	PRRT2	
134	NAHR_01179_chr16_28M	chr16	28751784	28772359	30225596	30246262	28772359	30225596	1453237	20620	0.9808	4.231	97	20	1	PRRT2	
135	NAHR_01165_chr16_29M	chr16	29449193	29595531	30188532	30335547	29595531	30188532	593001	146676	0.9956	5.143	46	11	1	PRRT2	
136	NAHR_01172_chr16_29M	chr16	29449193	29595531	30188532	30335547	29595531	30188532	593001	146676	0.9956	5.143	46	11	1	PRRT2	
137	NAHR_01706_chr2_95M	chr2	95800215	95961817	97141490	97299532	95961817	97141490	1179673	159822	0.9660	5.027	33	11	1	TMEM127	ADRA2B=HP:0001249:Intellectual disability;ASTL=HP:0011462:Young adult onset
138	NAHR_01718_chr2_95M	chr2	95800215	95961817	97141490	97299532	95961817	97141490	1179673	159822	0.9660	5.027	33	11	1	TMEM127	ADRA2B=HP:0001249:Intellectual disability;ASTL=HP:0011462:Young adult onset
139	NAHR_02392_chr7_73M	chr7	73398750	73416985	75368805	75386662	73416985	75368805	1951820	18046	0.9674	4.118	46	20	1	ELN	BAZ1B=HP:0000960:Sacral dimple;TBL2=HP:0000960:Sacral dimple;MLXIPL=HP:0001321:Cerebellar hypoplasia
140	NAHR_02417_chr7_73M	chr7	73398750	73416985	75368805	75386662	73416985	75368805	1951820	18046	0.9674	4.118	46	20	1	ELN	BAZ1B=HP:0000960:Sacral dimple;TBL2=HP:0000960:Sacral dimple;MLXIPL=HP:0001321:Cerebellar hypoplasia
141	NAHR_00090_chr1_16M	chr1	16599187	16613865	21439811	21457575	16613865	21439811	4825946	16221	0.9584	4.035	103	21	1	SDHB	
142	NAHR_00109_chr1_16M	chr1	16599187	16613865	21439811	21457575	16613865	21439811	4825946	16221	0.9584	4.035	103	21	1	SDHB	
143	NAHR_01982_chr22_18M	chr22	18729875	18891257	21162203	21325236	18891257	21162203	2270946	162207	0.9839	5.126	101	30	0		DGCR6=HP:0000718:Aggressive behavior;PRODH=HP:0001251:Ataxia
144	NAHR_02039_chr22_18M	chr22	18729875	18891257	21162203	21325236	18891257	21162203	2270946	162207	0.9839	5.126	101	30	0		DGCR6=HP:0000718:Aggressive behavior;PRODH=HP:0001251:Ataxia
145	NAHR_02047_chr22_21M	chr22	21280013	21295541	24646049	24661640	21295541	24646049	3350508	15559	0.9761	4.092	110	19	1	SMARCB1	
