pair_id	chrom	lcr_up_start	lcr_up_end	lcr_down_start	lcr_down_end	interior_start	interior_end	interior_len_bp	avg_lcr_len_bp	identity	propensity_X	n_interior_genes	n_disease_genes	n_HI3_genes
NAHR_00047_chr1_12M	chr1	12813258	12835418	13166716	13190561	12835418	13166716	331298	23002	0.9575	4.176	14	0	0
NAHR_00048_chr1_12M	chr1	12813258	12835418	13038373	13060075	12835418	13038373	202955	21931	0.9569	4.154	6	0	0
NAHR_00049_chr1_12M	chr1	12839949	12846275	13104252	13110607	12846275	13104252	257977	6340	0.9808	3.729	9	0	0
NAHR_00050_chr1_12M	chr1	12855323	12890195	13166716	13204031	12890195	13166716	276521	36093	0.9798	4.465	11	0	0
NAHR_00051_chr1_12M	chr1	12855323	12954384	13247407	13349795	12954384	13247407	293023	100724	0.9908	4.957	11	0	0
NAHR_00052_chr1_12M	chr1	12855323	12890195	13024928	13060075	12890195	13024928	134733	35009	0.9791	4.449	3	0	0
NAHR_00053_chr1_12M	chr1	12788873	12799974	12855323	12865723	12799974	12855323	55349	10750	0.9501	3.830	3	0	0
NAHR_00054_chr1_12M	chr1	12874443	12888569	13066314	13082654	12888569	13066314	177745	15233	0.9568	4.002	5	0	0
NAHR_00055_chr1_12M	chr1	12874443	12888569	13144134	13160477	12888569	13144134	255565	15234	0.9568	4.002	8	0	0
NAHR_00056_chr1_12M	chr1	12934953	12951584	13166716	13184348	12951584	13166716	215132	17131	0.9594	4.062	8	0	0
NAHR_00057_chr1_13M	chr1	13004384	13104252	13122521	13224571	13104252	13122521	18269	100959	0.9976	4.992	1	0	0
NAHR_00058_chr1_13M	chr1	13004384	13060075	13311609	13370307	13060075	13311609	251534	57194	0.9835	4.679	13	0	0
NAHR_00059_chr1_12M	chr1	12780114	12799974	13016166	13036103	12799974	13016166	216192	19898	0.9686	4.164	8	0	0
NAHR_00060_chr1_12M	chr1	12855323	12890195	13024928	13060075	12890195	13024928	134733	35009	0.9791	4.449	3	0	0
NAHR_00061_chr1_12M	chr1	12813258	12835418	13038373	13060075	12835418	13038373	202955	21931	0.9569	4.154	6	0	0
NAHR_00062_chr1_13M	chr1	13044586	13056765	13256082	13266837	13056765	13256082	199317	11467	0.9536	3.871	11	0	0
NAHR_00063_chr1_12M	chr1	12874443	12888569	13066314	13082654	12888569	13066314	177745	15233	0.9568	4.002	5	0	0
NAHR_00064_chr1_12M	chr1	12811748	12833786	13066314	13084017	12833786	13066314	232528	19870	0.9531	4.097	8	0	0
NAHR_00065_chr1_13M	chr1	13070512	13082654	13315263	13327388	13082654	13315263	232609	12133	0.9598	3.920	11	0	0
NAHR_00066_chr1_12M	chr1	12839949	12846275	13104252	13110607	12846275	13104252	257977	6340	0.9808	3.729	9	0	0
NAHR_00067_chr1_13M	chr1	13004384	13104252	13122521	13224571	13104252	13122521	18269	100959	0.9976	4.992	1	0	0
NAHR_00068_chr1_12M	chr1	12811748	12833786	13142771	13160477	12833786	13142771	308985	19872	0.9533	4.097	11	0	0
NAHR_00069_chr1_13M	chr1	13144134	13156278	13315263	13327388	13156278	13315263	158985	12134	0.9597	3.920	8	0	0
NAHR_00070_chr1_12M	chr1	12874443	12888569	13144134	13160477	12888569	13144134	255565	15234	0.9568	4.002	8	0	0
NAHR_00071_chr1_13M	chr1	13166716	13182345	13250207	13266074	13182345	13250207	67862	15748	0.9619	4.037	2	0	0
NAHR_00072_chr1_12M	chr1	12934953	12951584	13166716	13184348	12951584	13166716	215132	17131	0.9594	4.062	8	0	0
NAHR_00073_chr1_12M	chr1	12855323	12890195	13166716	13204031	12890195	13166716	276521	36093	0.9798	4.465	11	0	0
NAHR_00074_chr1_12M	chr1	12813258	12835418	13166716	13190561	12835418	13166716	331298	23002	0.9575	4.176	14	0	0
NAHR_00075_chr1_13M	chr1	13172136	13250000	13315267	13393767	13250000	13315267	65267	78182	0.9758	4.775	3	0	0
NAHR_00076_chr1_12M	chr1	12780114	12799974	13192847	13212793	12799974	13192847	392873	19903	0.9691	4.166	17	0	0
NAHR_00077_chr1_12M	chr1	12855323	12954384	13247407	13349795	12954384	13247407	293023	100724	0.9908	4.957	11	0	0
NAHR_00078_chr1_13M	chr1	13166716	13182345	13250207	13266074	13182345	13250207	67862	15748	0.9619	4.037	2	0	0
NAHR_00079_chr1_13M	chr1	13044586	13056765	13256082	13266837	13056765	13256082	199317	11467	0.9536	3.871	11	0	0
NAHR_00080_chr1_13M	chr1	13004384	13060075	13311609	13370307	13060075	13311609	251534	57194	0.9835	4.679	13	0	0
NAHR_00081_chr1_13M	chr1	13144134	13156278	13315263	13327388	13156278	13315263	158985	12134	0.9597	3.920	8	0	0
NAHR_00082_chr1_13M	chr1	13070512	13082654	13315263	13327388	13082654	13315263	232609	12133	0.9598	3.920	11	0	0
NAHR_00083_chr1_13M	chr1	13172136	13250000	13315267	13393767	13250000	13315267	65267	78182	0.9758	4.775	3	0	0
NAHR_00084_chr1_12M	chr1	12780114	12799974	13338551	13358546	12799974	13338551	538577	19927	0.9691	4.167	24	0	0
NAHR_00085_chr1_16M	chr1	16498872	16516900	16658279	16669564	16516900	16658279	141379	14656	0.9768	4.069	7	0	0
NAHR_00086_chr1_16M	chr1	16498872	16516900	16737899	16749188	16516900	16737899	220999	14658	0.9772	4.071	10	0	0
NAHR_00087_chr1_16M	chr1	16507044	16558792	16849163	16903180	16558792	16849163	290371	52882	0.9763	4.611	11	0	0
NAHR_00088_chr1_16M	chr1	16528245	16548322	16724992	16737900	16548322	16724992	176670	16492	0.9574	4.038	7	0	0
NAHR_00089_chr1_16M	chr1	16528245	16552873	16669563	16687097	16552873	16669563	116690	21081	0.9663	4.178	4	0	0
NAHR_00090_chr1_16M	chr1	16599187	16613865	21439811	21457575	16613865	21439811	4825946	16221	0.9584	4.035	103	21	1
NAHR_00091_chr1_16M	chr1	16645631	16680663	16724992	16761850	16680663	16724992	44329	35945	0.9881	4.501	3	0	0
NAHR_00092_chr1_16M	chr1	16498872	16516900	16658279	16669564	16516900	16658279	141379	14656	0.9768	4.069	7	0	0
NAHR_00093_chr1_16M	chr1	16659707	16669564	16893374	16903180	16669564	16893374	223810	9831	0.9579	3.825	12	0	0
NAHR_00094_chr1_16M	chr1	16669563	16687097	16855064	16879663	16687097	16855064	167967	21066	0.9657	4.175	8	0	0
NAHR_00095_chr1_16M	chr1	16528245	16552873	16669563	16687097	16552873	16669563	116690	21081	0.9663	4.178	4	0	0
NAHR_00096_chr1_16M	chr1	16724992	16737900	16859612	16879663	16737900	16859612	121712	16479	0.9597	4.047	6	0	0
NAHR_00097_chr1_16M	chr1	16645631	16680663	16724992	16761850	16680663	16724992	44329	35945	0.9881	4.501	3	0	0
NAHR_00098_chr1_16M	chr1	16528245	16548322	16724992	16737900	16548322	16724992	176670	16492	0.9574	4.038	7	0	0
NAHR_00099_chr1_16M	chr1	16737899	16747757	16893374	16903180	16747757	16893374	145617	9832	0.9579	3.825	8	0	0
NAHR_00100_chr1_16M	chr1	16498872	16516900	16737899	16749188	16516900	16737899	220999	14658	0.9772	4.071	10	0	0
NAHR_00101_chr1_16M	chr1	16849163	16857637	21411103	21419486	16857637	21411103	4553466	8428	0.9633	3.782	92	21	1
NAHR_00102_chr1_16M	chr1	16507044	16558792	16849163	16903180	16558792	16849163	290371	52882	0.9763	4.611	11	0	0
NAHR_00103_chr1_16M	chr1	16669563	16687097	16855064	16879663	16687097	16855064	167967	21066	0.9657	4.175	8	0	0
NAHR_00104_chr1_16M	chr1	16724992	16737900	16859612	16879663	16737900	16859612	121712	16479	0.9597	4.047	6	0	0
NAHR_00105_chr1_16M	chr1	16737899	16747757	16893374	16903180	16747757	16893374	145617	9832	0.9579	3.825	8	0	0
NAHR_00106_chr1_16M	chr1	16659707	16669564	16893374	16903180	16669564	16893374	223810	9831	0.9579	3.825	12	0	0
NAHR_00107_chr1_16M	chr1	16849163	16857637	21411103	21419486	16857637	21411103	4553466	8428	0.9633	3.782	92	21	1
NAHR_00108_chr1_21M	chr1	21421427	21427993	21480013	21486582	21427993	21480013	52020	6567	0.9907	3.782	1	0	0
NAHR_00109_chr1_16M	chr1	16599187	16613865	21439811	21457575	16613865	21439811	4825946	16221	0.9584	4.035	103	21	1
NAHR_00110_chr1_21M	chr1	21421427	21427993	21480013	21486582	21427993	21480013	52020	6567	0.9907	3.782	1	0	0
NAHR_00111_chr1_25M	chr1	25258882	25268025	25329025	25338354	25268025	25329025	61000	9236	0.9867	3.913	2	1	0
NAHR_00112_chr1_25M	chr1	25268024	25329028	25362422	25425328	25329028	25362422	33394	61955	0.9807	4.700	4	2	0
NAHR_00113_chr1_25M	chr1	25258882	25268025	25329025	25338354	25268025	25329025	61000	9236	0.9867	3.913	2	1	0
NAHR_00114_chr1_25M	chr1	25268024	25329028	25362422	25425328	25329028	25362422	33394	61955	0.9807	4.700	4	2	0
NAHR_00115_chr1_39M	chr1	39509526	39525868	39760348	39776678	39525868	39760348	234480	16336	0.9809	4.133	10	0	0
NAHR_00116_chr1_39M	chr1	39509526	39525868	39760348	39776678	39525868	39760348	234480	16336	0.9809	4.133	10	0	0
NAHR_00117_chr1_46M	chr1	46838544	46900684	47067239	47122930	46900684	47067239	166555	58915	0.9525	4.543	3	0	0
NAHR_00118_chr1_46M	chr1	46921731	46950355	47127552	47157145	46950355	47127552	177197	29108	0.9582	4.277	3	0	0
NAHR_00119_chr1_46M	chr1	46838544	46900684	47067239	47122930	46900684	47067239	166555	58915	0.9525	4.543	3	0	0
NAHR_00120_chr1_46M	chr1	46921731	46950355	47127552	47157145	46950355	47127552	177197	29108	0.9582	4.277	3	0	0
NAHR_00121_chr1_103M	chr1	103589768	103600000	103679481	103684929	103600000	103679481	79481	7840	0.9989	3.890	2	0	0
NAHR_00122_chr1_103M	chr1	103619305	103667876	103713474	103762027	103667876	103713474	45598	48562	0.9971	4.672	1	0	0
NAHR_00123_chr1_103M	chr1	103670043	103700646	103745461	103774845	103700646	103745461	44815	29993	0.9548	4.275	1	0	0
NAHR_00124_chr1_103M	chr1	103589768	103600000	103679481	103684929	103600000	103679481	79481	7840	0.9989	3.890	2	0	0
NAHR_00125_chr1_103M	chr1	103619305	103667876	103713474	103762027	103667876	103713474	45598	48562	0.9971	4.672	1	0	0
NAHR_00126_chr1_103M	chr1	103670043	103700646	103745461	103774845	103700646	103745461	44815	29993	0.9548	4.275	1	0	0
NAHR_00127_chr1_108M	chr1	108221620	108310652	108383726	108472664	108310652	108383726	73074	88985	0.9970	4.934	2	0	0
NAHR_00128_chr1_108M	chr1	108236177	108249740	108365292	108383706	108249740	108365292	115552	15988	0.9687	4.072	2	0	0
NAHR_00129_chr1_108M	chr1	108236177	108249740	108365292	108383706	108249740	108365292	115552	15988	0.9687	4.072	2	0	0
NAHR_00130_chr1_108M	chr1	108372114	108383706	108446687	108458167	108383706	108446687	62981	11536	0.9902	4.022	2	0	0
NAHR_00131_chr1_108M	chr1	108221620	108310652	108383726	108472664	108310652	108383726	73074	88985	0.9970	4.934	2	0	0
NAHR_00132_chr1_108M	chr1	108372114	108383706	108446687	108458167	108383706	108446687	62981	11536	0.9902	4.022	2	0	0
NAHR_00133_chr1_120M	chr1	119990473	120087982	120705587	120800000	120087982	120705587	617605	95961	0.9954	4.959	6	2	0
NAHR_00134_chr1_120M	chr1	120192772	120323081	120575596	120705592	120323081	120575596	252515	130152	0.9972	5.100	4	1	0
NAHR_00135_chr1_120M	chr1	120323082	120347619	120907518	120932045	120347619	120907518	559899	24532	0.9920	4.354	7	2	0
NAHR_00136_chr1_120M	chr1	120442760	120465679	120805475	120828299	120465679	120805475	339796	22871	0.9697	4.227	4	1	0
NAHR_00137_chr1_120M	chr1	120460773	120466052	120828139	120833677	120466052	120828139	362087	5408	0.9800	3.658	4	1	0
NAHR_00138_chr1_120M	chr1	120460773	120468259	120835766	120842634	120468259	120835766	367507	7177	0.9826	3.789	4	1	0
NAHR_00139_chr1_120M	chr1	120192772	120323081	120575596	120705592	120323081	120575596	252515	130152	0.9972	5.100	4	1	0
NAHR_00140_chr1_120M	chr1	119990473	120087982	120705587	120800000	120087982	120705587	617605	95961	0.9954	4.959	6	2	0
NAHR_00141_chr1_120M	chr1	120442760	120465679	120805475	120828299	120465679	120805475	339796	22871	0.9697	4.227	4	1	0
NAHR_00142_chr1_120M	chr1	120460773	120466052	120828139	120833677	120466052	120828139	362087	5408	0.9800	3.658	4	1	0
NAHR_00143_chr1_120M	chr1	120460773	120468259	120835766	120842634	120468259	120835766	367507	7177	0.9826	3.789	4	1	0
NAHR_00144_chr1_120M	chr1	120323082	120347619	120907518	120932045	120347619	120907518	559899	24532	0.9920	4.354	7	2	0
NAHR_00145_chr1_121M	chr1	121391236	121396343	125087603	125092720	121396343	125087603	3691260	5112	0.9731	3.609	6	0	0
NAHR_00146_chr1_121M	chr1	121391236	121396343	125087603	125092720	121396343	125087603	3691260	5112	0.9731	3.609	6	0	0
NAHR_00147_chr1_143M	chr1	143275756	143311833	143503850	143539772	143311833	143503850	192017	35999	0.9931	4.525	1	0	0
NAHR_00148_chr1_143M	chr1	143285626	143311833	144610018	144636230	143311833	144610018	1298185	26209	0.9917	4.382	15	0	0
NAHR_00149_chr1_143M	chr1	143285626	143311833	144330237	144356500	143311833	144330237	1018404	26235	0.9916	4.382	10	0	0
NAHR_00150_chr1_143M	chr1	143311825	143529840	144610018	144828052	143529840	144610018	1080178	218024	0.9965	5.320	14	0	0
NAHR_00151_chr1_143M	chr1	143313607	143529840	144136977	144356500	143529840	144136977	607137	217878	0.9965	5.320	7	0	0
NAHR_00152_chr1_143M	chr1	143275756	143311833	143503850	143539772	143311833	143503850	192017	35999	0.9931	4.525	1	0	0
NAHR_00153_chr1_143M	chr1	143772884	143831884	145129135	145188250	143831884	145129135	1297251	59057	0.9959	4.752	17	1	0
NAHR_00154_chr1_144M	chr1	143938829	144045052	145022889	145129140	144045052	145022889	977837	106237	0.9973	5.012	11	1	0
NAHR_00155_chr1_144M	chr1	144044798	144140065	144825166	144915702	144140065	144825166	685101	92901	0.9971	4.954	10	0	0
NAHR_00156_chr1_143M	chr1	143313607	143529840	144136977	144356500	143529840	144136977	607137	217878	0.9965	5.320	7	0	0
NAHR_00157_chr1_144M	chr1	144139185	144394054	144572469	144827825	144394054	144572469	178415	255112	0.9994	5.404	3	0	0
NAHR_00158_chr1_143M	chr1	143285626	143311833	144330237	144356500	143311833	144330237	1018404	26235	0.9916	4.382	10	0	0
NAHR_00159_chr1_144M	chr1	144356497	144428470	148466045	148538515	144428470	148466045	4037575	72221	0.9827	4.774	81	16	0
NAHR_00160_chr1_144M	chr1	144356497	144428470	145222077	145297011	144428470	145222077	793607	73453	0.9912	4.823	9	1	0
NAHR_00161_chr1_144M	chr1	144357957	144394054	146328663	146365230	144394054	146328663	1934609	36332	0.9906	4.517	45	6	0
NAHR_00162_chr1_144M	chr1	144414407	144420936	146365241	146371772	144420936	146365241	1944305	6530	0.9888	3.772	45	6	0
NAHR_00163_chr1_144M	chr1	144414407	144420936	144565900	144572458	144420936	144565900	144964	6543	0.9931	3.789	2	0	0
NAHR_00164_chr1_144M	chr1	144420966	144440116	148101628	148120788	144440116	148101628	3661512	19155	0.9791	4.193	71	15	0
NAHR_00165_chr1_144M	chr1	144420966	144440599	145571914	145591656	144440599	145571914	1131315	19687	0.9736	4.181	14	1	0
NAHR_00166_chr1_144M	chr1	144422853	144440116	149058694	149075942	144440116	149058694	4618578	17255	0.9766	4.138	91	17	0
NAHR_00167_chr1_144M	chr1	144422853	144440116	148572212	148589471	144440116	148572212	4132096	17261	0.9799	4.152	83	16	0
NAHR_00168_chr1_144M	chr1	144423181	144428470	148559890	148565192	144428470	148559890	4131420	5295	0.9653	3.595	83	16	0
NAHR_00169_chr1_144M	chr1	144423181	144428470	146112151	146117419	144428470	146112151	1683681	5278	0.9666	3.598	41	6	0
NAHR_00170_chr1_144M	chr1	144423181	144428470	146069640	146074918	144428470	146069640	1641170	5283	0.9658	3.596	41	6	0
NAHR_00171_chr1_144M	chr1	144423181	144428470	146098001	146103273	144428470	146098001	1669531	5280	0.9658	3.595	41	6	0
NAHR_00172_chr1_144M	chr1	144423181	144428470	146079104	146084390	144428470	146079104	1650634	5287	0.9657	3.596	41	6	0
NAHR_00173_chr1_144M	chr1	144423181	144440116	146121595	146138523	144440116	146121595	1681479	16931	0.9844	4.163	41	6	0
NAHR_00174_chr1_144M	chr1	144423181	144428470	145321837	145327163	144428470	145321837	893367	5307	0.9708	3.616	13	1	0
NAHR_00175_chr1_144M	chr1	144423181	144428470	145350388	145355728	144428470	145350388	921918	5314	0.9704	3.615	13	1	0
NAHR_00176_chr1_144M	chr1	144423181	144468006	145388415	145430979	144468006	145388415	920409	43694	0.9811	4.553	12	1	0
NAHR_00177_chr1_144M	chr1	144423334	144440116	146972672	146989495	144440116	146972672	2532556	16802	0.9767	4.127	51	7	0
NAHR_00178_chr1_144M	chr1	144423349	144428470	145341032	145346194	144428470	145341032	912562	5141	0.9759	3.622	13	1	0
NAHR_00179_chr1_144M	chr1	144423349	144428470	145360067	145365229	144428470	145360067	931597	5141	0.9755	3.620	13	1	0
NAHR_00180_chr1_144M	chr1	144435041	144531516	149077138	149170440	144531516	149077138	4545622	94888	0.9863	4.909	90	17	0
NAHR_00181_chr1_144M	chr1	144435041	144457962	148121985	148144845	144457962	148121985	3664023	22890	0.9653	4.209	72	16	0
NAHR_00182_chr1_144M	chr1	144435041	144440116	146966385	146971463	144440116	146966385	2526269	5076	0.9510	3.524	51	7	0
NAHR_00183_chr1_144M	chr1	144435041	144457962	146942133	146965173	144457962	146942133	2484171	22980	0.9652	4.210	51	7	0
NAHR_00184_chr1_144M	chr1	144457971	144550481	146384363	146474420	144550481	146384363	1833882	91283	0.9907	4.914	43	6	0
NAHR_00185_chr1_144M	chr1	144476071	144488026	148338954	148348209	144488026	148338954	3850928	10605	0.9542	3.841	77	16	0
NAHR_00186_chr1_144M	chr1	144552011	144608561	146328663	146387344	144608561	146328663	1720102	57615	0.9886	4.706	41	6	0
NAHR_00187_chr1_144M	chr1	144565900	144608921	149556814	149599999	144608921	149556814	4947893	43103	0.9894	4.585	95	18	0
NAHR_00188_chr1_144M	chr1	144565900	144572458	148524430	148530937	144572458	148524430	3951972	6532	0.9902	3.778	80	16	0
NAHR_00189_chr1_144M	chr1	144565900	144572458	145282944	145289446	144572458	145282944	710486	6530	0.9905	3.779	9	1	0
NAHR_00190_chr1_144M	chr1	144414407	144420936	144565900	144572458	144420936	144565900	144964	6543	0.9931	3.789	2	0	0
NAHR_00191_chr1_144M	chr1	144572469	144610021	148466045	148503773	144610021	148466045	3856024	37640	0.9900	4.530	78	16	0
NAHR_00192_chr1_144M	chr1	144139185	144394054	144572469	144827825	144394054	144572469	178415	255112	0.9994	5.404	3	0	0
NAHR_00193_chr1_144M	chr1	144572473	144610021	145222077	145262593	144610021	145222077	612056	39032	0.9929	4.559	6	1	0
NAHR_00194_chr1_143M	chr1	143311825	143529840	144610018	144828052	143529840	144610018	1080178	218024	0.9965	5.320	14	0	0
NAHR_00195_chr1_143M	chr1	143285626	143311833	144610018	144636230	143311833	144610018	1298185	26209	0.9917	4.382	15	0	0
NAHR_00196_chr1_144M	chr1	144044798	144140065	144825166	144915702	144140065	144825166	685101	92901	0.9971	4.954	10	0	0
NAHR_00197_chr1_144M	chr1	143938829	144045052	145022889	145129140	144045052	145022889	977837	106237	0.9973	5.012	11	1	0
NAHR_00198_chr1_145M	chr1	145129135	145188250	149681543	149740424	145188250	149681543	4493293	58998	0.9938	4.741	94	17	0
NAHR_00199_chr1_143M	chr1	143772884	143831884	145129135	145188250	143831884	145129135	1297251	59057	0.9959	4.752	17	1	0
NAHR_00200_chr1_145M	chr1	145187963	145262593	149563352	149635246	145262593	149563352	4300759	73262	0.9913	4.823	88	17	0
NAHR_00201_chr1_145M	chr1	145196481	145336686	148440436	148577847	145336686	148440436	3103750	138808	0.9901	5.092	69	15	0
NAHR_00202_chr1_145M	chr1	145197026	145221573	149170310	149194881	145221573	149170310	3948737	24559	0.9934	4.361	82	16	0
NAHR_00203_chr1_144M	chr1	144572473	144610021	145222077	145262593	144610021	145222077	612056	39032	0.9929	4.559	6	1	0
NAHR_00204_chr1_144M	chr1	144356497	144428470	145222077	145297011	144428470	145222077	793607	73453	0.9912	4.823	9	1	0
NAHR_00205_chr1_145M	chr1	145223538	145262593	146328663	146365226	145262593	146328663	1066070	37809	0.9907	4.535	34	5	0
NAHR_00206_chr1_145M	chr1	145282944	145289446	146365241	146371772	145289446	146365241	1075795	6516	0.9891	3.772	33	5	0
NAHR_00207_chr1_144M	chr1	144565900	144572458	145282944	145289446	144572458	145282944	710486	6530	0.9905	3.779	9	1	0
NAHR_00208_chr1_145M	chr1	145289476	145301773	149053603	149064295	145301773	149053603	3751830	11494	0.9824	3.989	79	16	0
NAHR_00209_chr1_145M	chr1	145289476	145297011	148101628	148109148	145297011	148101628	2804617	7527	0.9705	3.762	59	14	0
NAHR_00210_chr1_145M	chr1	145289476	145301773	146984320	146996601	145301773	146984320	1682547	12289	0.9716	3.973	39	6	0
NAHR_00211_chr1_145M	chr1	145289476	145297011	145571914	145579459	145297011	145571914	274903	7540	0.9706	3.763	2	0	0
NAHR_00212_chr1_145M	chr1	145304067	145312881	149055500	149064295	145312881	149055500	3742619	8804	0.9643	3.804	79	16	0
NAHR_00213_chr1_145M	chr1	145317028	145327163	149055777	149064295	145327163	149055777	3728614	9326	0.9765	3.876	79	16	0
NAHR_00214_chr1_145M	chr1	145317028	145327163	146984320	146994453	145327163	146984320	1657157	10134	0.9678	3.877	39	6	0
NAHR_00215_chr1_144M	chr1	144423181	144428470	145321837	145327163	144428470	145321837	893367	5307	0.9708	3.616	13	1	0
NAHR_00216_chr1_145M	chr1	145326540	145405872	149475332	149554616	145405872	149475332	4069460	79308	0.9863	4.832	86	17	0
NAHR_00217_chr1_145M	chr1	145326540	145331930	148103790	148109148	145331930	148103790	2771860	5374	0.9602	3.582	60	15	0
